company_name,date_certified,industry,industry_category,country,state,city,sector,size,website       
Cristiana Costa Lda.,2022-05-24T16:46:10.303Z,Apparel,Wholesale,Portugal,Castelo Branco,Covilhã,Wholesale/Retail,1-9,naz.pt
Impact Hub Taipei,2023-02-21T02:48:03.775Z,Other business support,Administrative & support services,Taiwan,Taiwan,Taipei,Service with Significant Environmental Footprint,10-49,taipei.impacthub.net
Espantapajaros,2022-06-06T16:39:34.102Z,Restaurants & food service,Accommodation & food service,Chile,Los Lagos Region,Puerto Octay,Service with Significant Environmental Footprint,10-49,www.espantapajaros.cl
Benedictus Media Buying & Planning Pty Ltd,2023-02-08T13:56:47.662Z,Other business support,Administrative & support services,Australia,New South Wales,Sydney,Service with Minor Environmental Footprint,10-49,www.benedictusmedia.com
Saul Good Gift Co,2022-03-23T09:18:35.112Z,Food products,Wholesale,Canada,British Columbia,Vancouver,Wholesale/Retail,1-9,www.itsaulgood.com
Doppler Effect,2022-03-29T16:04:30.033Z,Other info service activities,"Information, communication & technology",United Kingdom,London,London,Service with Minor Environmental Footprint,0,dopplereffect.org
Vistage S.A. Argentina,2021-05-14T17:54:09.852Z,"Other professional, scientific & tech",Professional & technical services,Argentina,Buenos Aires,Ciudad Autónoma de Buenos Aires,Service with Minor Environmental Footprint,10-49,www.vistage.com.ar
Enviral Ltd,2022-03-30T00:59:34.597Z,Advertising & market research,Professional & technical services,United Kingdom,Bristol,Bristol,Service with Minor Environmental Footprint,1-9,www.enviral.co.uk
GravityLab Ltd,2021-09-14T04:53:07.407Z,Management consultant - nonprofits,Professional & technical services,New Zealand,Auckland Region,Newmarket,Service with Minor Environmental Footprint,10-49,gravitylab.nz
Seated Massage,2021-11-04T05:28:54.782Z,Other human health,Human health & social work,Australia,South Australia,Crafers,Service with Minor Environmental Footprint,0,seatedmassage.com.au
Centre ASSAL,2022-08-12T14:21:50.498Z,Medical & dental practice,Human health & social work,Switzerland,GE,Geneva,Service with Significant Environmental Footprint,10-49,centre-assal.ch
"Danone Specialized Nutrition (Thailand) Co., Ltd.",2021-03-18T10:12:02.127Z,Food products,Manufactured Goods,Thailand,Samutprakarn,Bangsaothong,Manufacturing,250-999,www.danone.co.th
Righteous Gelato,2021-06-29T07:55:50.859Z,Food products,Manufactured Goods,Canada,Alberta,Calgary,Manufacturing,10-49,www.righteousgelato.com
Diva International Inc.,2021-06-30T20:05:21.134Z,Personal care products,Retail,Canada,Ontario,Kitchener,Wholesale/Retail,50-249,divacup.com
Roundpeg Benefit LLC,2022-03-31T17:01:34.687Z,Advertising & market research,Professional & technical services,United States,Maryland,Silver Spring,Service with Minor Environmental Footprint,0,www.roundpegcomm.com
Inspired Adventures,2019-09-23T21:01:57.938Z,"Other professional, scientific & tech",Professional & technical services,Australia,New South Wales,Bowral,Service with Minor Environmental Footprint,10-49,inspiredadventures.com.au
"Exponent Beauty, INC",2021-11-17T17:41:39.487Z,Personal care products,Wholesale,United States,California,San Francisco,Wholesale/Retail,1-9,exponentbeauty.com
Niño Mágico S.A.S. BIC,2022-03-30T15:49:05.173Z,Other personal services,Other services,Colombia,Antioquia Department,Envigado,Service with Minor Environmental Footprint,0,https://corazondenino.com.co/
"Nohbo, Inc.",2022-04-11T22:50:11.303Z,Personal care products,Manufactured Goods,United States,Florida,Palm Bay,Manufacturing,1-9,www.Nohbo.com
"FoundHer,  LLC",2022-03-08T04:17:40.63Z,"Other professional, scientific & tech",Professional & technical services,United States,Connecticut,Westport,Service with Minor Environmental Footprint,0,www.foundherllc.com
"Attn: Grace, Inc",2022-03-04T20:56:39.107Z,Personal care products,Retail,United States,Massachusetts,Brookline,Wholesale/Retail,1-9,www.attngrace.com
O-Bank,2021-03-08T00:00:00Z,Deposit bank - Developed Markets,Financial & insurance activities,Taiwan,Taipei City,Taipei City,Service with Minor Environmental Footprint,250-999,www.o-bank.com
UPPAREL,2021-01-13T17:08:28.935Z,Textiles,Retail,Australia,Victoria,Braeside,Wholesale/Retail,1-9,https://upparel.com.au/
